Random data, Lexis triangles, HMD style

Year Age Cohort Female Male Total
1970 0 1970 473 137 610
1970 0 1969 367 55 422
1970 1 1969 151 889 1040
1970 1 1968 273 184 457
1970 2 1968 721 640 1361
1970 2 1967 564 379 943
1970 3 1967 819 5 824
1970 3 1966 421 52 473
1970 4 1966 674 67 741
1970 4 1965 290 784 1074
1970 5 1965 23 742 765
1970 5 1964 717 692 1409
1970 6 1964 7 446 453
1970 6 1963 262 721 983
1970 7 1963 692 780 1472
1970 7 1962 982 890 1872
1970 8 1962 841 350 1191
1970 8 1961 357 842 1199
1970 9 1961 241 652 893
1970 9 1960 613 255 868
1970 10 1960 99 91 190
1970 10 1959 256 922 1178
1970 11 1959 68 304 372
1970 11 1958 279 370 649
1970 12 1958 512 357 869
1970 12 1957 549 866 1415
1970 13 1957 400 241 641
1970 13 1956 405 144 549
1970 14 1956 719 963 1682
1970 14 1955 53 970 1023
1970 15 1955 712 36 748
1970 15 1954 188 68 256
1970 16 1954 836 907 1743
1970 16 1953 11 307 318
1970 17 1953 416 702 1118
1970 17 1952 58 846 904
1970 18 1952 697 499 1196
1970 18 1951 141 313 454
1970 19 1951 535 232 767
1970 19 1950 731 223 954
1970 20 1950 822 57 879
1970 20 1949 551 18 569
1970 21 1949 845 748 1593
1970 21 1948 183 884 1067
1970 22 1948 72 603 675
1970 22 1947 2 673 675
1970 23 1947 260 170 430
1970 23 1946 370 562 932
1970 24 1946 255 776 1031
1970 24 1945 218 763 981
1970 25 1945 925 614 1539
1970 25 1944 249 328 577
1970 26 1944 963 186 1149
1970 26 1943 98 657 755
1970 27 1943 536 633 1169
1970 27 1942 507 436 943
1970 28 1942 581 257 838
1970 28 1941 528 516 1044
1970 29 1941 2 464 466
1970 29 1940 896 833 1729
1970 30 1940 52 851 903
1970 30 1939 151 63 214
1970 31 1939 914 346 1260
1970 31 1938 887 182 1069
1970 32 1938 704 586 1290
1970 32 1937 180 801 981
1970 33 1937 375 506 881
1970 33 1936 985 845 1830
1970 34 1936 786 381 1167
1970 34 1935 786 690 1476
1970 35 1935 886 95 981
1970 35 1934 268 837 1105
1970 36 1934 318 914 1232
1970 36 1933 975 694 1669
1970 37 1933 658 23 681
1970 37 1932 878 732 1610
1970 38 1932 58 979 1037
1970 38 1931 452 91 543
1970 39 1931 912 675 1587
1970 39 1930 940 167 1107
1970 40 1930 174 364 538
1970 40 1929 728 164 892
1970 41 1929 662 635 1297
1970 41 1928 485 318 803
1970 42 1928 505 348 853
1970 42 1927 394 343 737
1970 43 1927 930 215 1145
1970 43 1926 880 847 1727
1970 44 1926 334 781 1115
1970 44 1925 466 968 1434
1970 45 1925 223 229 452
1970 45 1924 480 276 756
1970 46 1924 971 281 1252
1970 46 1923 244 172 416
1970 47 1923 634 779 1413
1970 47 1922 746 462 1208
1970 48 1922 371 955 1326
1970 48 1921 786 817 1603
1970 49 1921 649 257 906
1970 49 1920 771 871 1642
1970 50 1920 769 534 1303
1970 50 1919 975 200 1175
1970 51 1919 123 464 587
1970 51 1918 324 293 617
1970 52 1918 162 175 337
1970 52 1917 294 641 935
1970 53 1917 297 33 330
1970 53 1916 699 365 1064
1970 54 1916 911 628 1539
1970 54 1915 498 527 1025
1970 55 1915 463 218 681
1970 55 1914 673 893 1566
1970 56 1914 745 771 1516
1970 56 1913 352 809 1161
1970 57 1913 935 929 1864
1970 57 1912 497 238 735
1970 58 1912 372 929 1301
1970 58 1911 70 692 762
1970 59 1911 574 630 1204
1970 59 1910 786 612 1398
1970 60 1910 282 171 453
1970 60 1909 896 222 1118
1970 61 1909 753 154 907
1970 61 1908 797 745 1542
1970 62 1908 921 150 1071
1970 62 1907 207 840 1047
1970 63 1907 133 140 273
1970 63 1906 285 202 487
1970 64 1906 915 469 1384
1970 64 1905 995 373 1368
1970 65 1905 774 794 1568
1970 65 1904 461 566 1027
1970 66 1904 487 680 1167
1970 66 1903 529 865 1394
1970 67 1903 760 877 1637
1970 67 1902 623 990 1613
1970 68 1902 673 463 1136
1970 68 1901 380 658 1038
1970 69 1901 744 747 1491
1970 69 1900 543 162 705
1970 70 1900 968 270 1238
1970 70 1899 498 334 832
1970 71 1899 343 184 527
1970 71 1898 456 609 1065
1970 72 1898 374 638 1012
1970 72 1897 54 549 603
1970 73 1897 63 355 418
1970 73 1896 347 525 872
1970 74 1896 324 656 980
1970 74 1895 663 11 674
1970 75 1895 592 818 1410
1970 75 1894 550 289 839
1970 76 1894 599 477 1076
1970 76 1893 24 813 837
1970 77 1893 595 892 1487
1970 77 1892 775 610 1385
1970 78 1892 970 53 1023
1970 78 1891 509 547 1056
1970 79 1891 200 152 352
1970 79 1890 57 714 771
1970 80 1890 171 275 446
1970 80 1889 124 521 645
1970 81 1889 519 389 908
1970 81 1888 885 996 1881
1970 82 1888 470 616 1086
1970 82 1887 883 836 1719
1970 83 1887 768 559 1327
1970 83 1886 501 686 1187
1970 84 1886 987 528 1515
1970 84 1885 807 734 1541
1970 85 1885 148 848 996
1970 85 1884 924 777 1701
1970 86 1884 430 163 593
1970 86 1883 320 139 459
1970 87 1883 796 761 1557
1970 87 1882 300 163 463
1970 88 1882 322 38 360
1970 88 1881 888 799 1687
1970 89 1881 500 797 1297
1970 89 1880 222 944 1166
1970 90 1880 309 205 514
1970 90 1879 50 836 886
1970 91 1879 115 607 722
1970 91 1878 820 965 1785
1970 92 1878 938 936 1874
1970 92 1877 311 841 1152
1970 93 1877 652 523 1175
1970 93 1876 574 656 1230
1970 94 1876 370 651 1021
1970 94 1875 265 917 1182
1970 95 1875 911 817 1728
1970 95 1874 212 298 510
1970 96 1874 689 573 1262
1970 96 1873 145 818 963
1970 97 1873 450 874 1324
1970 97 1872 25 51 76
1970 98 1872 814 518 1332
1970 98 1871 896 260 1156
1970 99 1871 999 57 1056
1970 99 1870 592 758 1350
1970 100 1870 589 261 850
1970 100 1869 114 608 722
1970 101 1869 685 897 1582
1970 101 1868 750 557 1307
1970 102 1868 221 82 303
1970 102 1867 324 458 782
1970 103 1867 250 866 1116
1970 103 1866 390 550 940
1970 104 1866 708 29 737
1970 104 1865 383 995 1378
1970 105 1865 361 309 670
1970 105 1864 969 819 1788
1970 106 1864 464 851 1315
1970 106 1863 487 719 1206
1970 107 1863 944 717 1661
1970 107 1862 693 925 1618
1970 108 1862 597 151 748
1970 108 1861 15 134 149
1970 109 1861 480 350 830
1970 109 1860 96 708 804
1970 110 . 755 7 762
1971 0 1971 488 112 600
1971 0 1970 682 560 1242
1971 1 1970 100 296 396
1971 1 1969 150 999 1149
1971 2 1969 911 773 1684
1971 2 1968 381 783 1164
1971 3 1968 400 157 557
1971 3 1967 384 969 1353
1971 4 1967 329 378 707
1971 4 1966 741 649 1390
1971 5 1966 537 795 1332
1971 5 1965 978 610 1588
1971 6 1965 95 460 555
1971 6 1964 73 793 866
1971 7 1964 510 505 1015
1971 7 1963 301 357 658
1971 8 1963 39 895 934
1971 8 1962 608 147 755
1971 9 1962 116 823 939
1971 9 1961 659 4 663
1971 10 1961 536 868 1404
1971 10 1960 957 762 1719
